Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	12000	Indian Pitta	indpit1	0.1183	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	0.0
2	Spectrogram 1	1	3.0	6.0	0	12000	Southern Hill Myna	sohmyn1	0.1318	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	3.0
3	Spectrogram 1	1	6.0	9.0	0	12000	Gray Junglefowl	grejun2	0.1614	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	6.0
4	Spectrogram 1	1	9.0	12.0	0	12000	Indian White-eye	indwhe1	0.4857	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	9.0
5	Spectrogram 1	1	12.0	15.0	0	12000	White-cheeked Barbet	whcbar1	0.3663	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	12.0
6	Spectrogram 1	1	21.0	24.0	0	12000	White-cheeked Barbet	whcbar1	0.1398	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	21.0
7	Spectrogram 1	1	24.0	27.0	0	12000	Indian White-eye	indwhe1	0.4262	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	24.0
8	Spectrogram 1	1	27.0	30.0	0	12000	White-cheeked Barbet	whcbar1	0.1176	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	27.0
9	Spectrogram 1	1	30.0	33.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.7130	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	30.0
10	Spectrogram 1	1	30.0	33.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1896	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	30.0
11	Spectrogram 1	1	33.0	36.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1258	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	33.0
12	Spectrogram 1	1	33.0	36.0	0	12000	Gray Junglefowl	grejun2	0.1218	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	33.0
13	Spectrogram 1	1	33.0	36.0	0	12000	White-cheeked Barbet	whcbar1	0.1154	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	33.0
14	Spectrogram 1	1	39.0	42.0	0	12000	Indian Pitta	indpit1	0.4605	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	39.0
15	Spectrogram 1	1	42.0	45.0	0	12000	White-cheeked Barbet	whcbar1	0.1354	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	42.0
16	Spectrogram 1	1	45.0	48.0	0	12000	White-cheeked Barbet	whcbar1	0.5812	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	45.0
17	Spectrogram 1	1	48.0	51.0	0	12000	Indian Pitta	indpit1	0.1727	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	48.0
18	Spectrogram 1	1	51.0	54.0	0	12000	Gray Junglefowl	grejun2	0.1196	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	51.0
19	Spectrogram 1	1	54.0	57.0	0	12000	White-cheeked Barbet	whcbar1	0.1915	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	54.0
20	Spectrogram 1	1	57.0	60.0	0	12000	White-cheeked Barbet	whcbar1	0.1668	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	57.0
21	Spectrogram 1	1	63.0	66.0	0	12000	White-cheeked Barbet	whcbar1	0.6170	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	63.0
22	Spectrogram 1	1	72.0	75.0	0	12000	Black-hooded Oriole	blhori1	0.1437	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	72.0
23	Spectrogram 1	1	84.0	87.0	0	12000	White-cheeked Barbet	whcbar1	0.2070	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	84.0
24	Spectrogram 1	1	84.0	87.0	0	12000	Gray Junglefowl	grejun2	0.1082	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	84.0
25	Spectrogram 1	1	87.0	90.0	0	12000	Gray Junglefowl	grejun2	0.1268	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	87.0
26	Spectrogram 1	1	90.0	93.0	0	12000	White-cheeked Barbet	whcbar1	0.1958	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	90.0
27	Spectrogram 1	1	93.0	96.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1043	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	93.0
28	Spectrogram 1	1	96.0	99.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1545	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	96.0
29	Spectrogram 1	1	96.0	99.0	0	12000	White-cheeked Barbet	whcbar1	0.1104	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	96.0
30	Spectrogram 1	1	96.0	99.0	0	12000	Gray Junglefowl	grejun2	0.1007	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	96.0
31	Spectrogram 1	1	99.0	102.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1187	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	99.0
32	Spectrogram 1	1	105.0	108.0	0	12000	Orange-headed Thrush	orhthr1	0.2796	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	105.0
33	Spectrogram 1	1	114.0	117.0	0	12000	Green Warbler	grnwar1	0.2808	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	114.0
34	Spectrogram 1	1	114.0	117.0	0	12000	Greenish Warbler	grewar3	0.1195	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	114.0
35	Spectrogram 1	1	117.0	120.0	0	12000	White-cheeked Barbet	whcbar1	0.1033	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	117.0
36	Spectrogram 1	1	129.0	132.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.2367	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	129.0
37	Spectrogram 1	1	129.0	132.0	0	12000	Green Warbler	grnwar1	0.1230	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	129.0
38	Spectrogram 1	1	129.0	132.0	0	12000	Greenish Warbler	grewar3	0.1070	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	129.0
39	Spectrogram 1	1	132.0	135.0	0	12000	Gray Junglefowl	grejun2	0.1383	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	132.0
40	Spectrogram 1	1	132.0	135.0	0	12000	White-cheeked Barbet	whcbar1	0.1335	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	132.0
41	Spectrogram 1	1	138.0	141.0	0	12000	Gray Junglefowl	grejun2	0.1230	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	138.0
42	Spectrogram 1	1	141.0	144.0	0	12000	Gray Junglefowl	grejun2	0.2127	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	141.0
43	Spectrogram 1	1	147.0	150.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1530	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	147.0
44	Spectrogram 1	1	177.0	180.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1025	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	177.0
45	Spectrogram 1	1	183.0	186.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.2021	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	183.0
46	Spectrogram 1	1	198.0	201.0	0	12000	Green Warbler	grnwar1	0.3269	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	198.0
47	Spectrogram 1	1	198.0	201.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1996	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260211_164500.wav	198.0
