Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	12000	Yellow-browed Bulbul	yebbul3	0.1367	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	0.0
2	Spectrogram 1	1	0.0	3.0	0	12000	White-cheeked Barbet	whcbar1	0.1235	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	0.0
3	Spectrogram 1	1	3.0	6.0	0	12000	White-cheeked Barbet	whcbar1	0.2552	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	3.0
4	Spectrogram 1	1	6.0	9.0	0	12000	White-cheeked Barbet	whcbar1	0.3099	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	6.0
5	Spectrogram 1	1	6.0	9.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1070	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	6.0
6	Spectrogram 1	1	9.0	12.0	0	12000	White-cheeked Barbet	whcbar1	0.4455	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	9.0
7	Spectrogram 1	1	12.0	15.0	0	12000	Gray Junglefowl	grejun2	0.1170	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	12.0
8	Spectrogram 1	1	15.0	18.0	0	12000	Gray Junglefowl	grejun2	0.2364	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	15.0
9	Spectrogram 1	1	18.0	21.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1908	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	18.0
10	Spectrogram 1	1	18.0	21.0	0	12000	White-cheeked Barbet	whcbar1	0.1643	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	18.0
11	Spectrogram 1	1	24.0	27.0	0	12000	White-cheeked Barbet	whcbar1	0.1412	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	24.0
12	Spectrogram 1	1	27.0	30.0	0	12000	White-cheeked Barbet	whcbar1	0.1146	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	27.0
13	Spectrogram 1	1	27.0	30.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1133	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	27.0
14	Spectrogram 1	1	30.0	33.0	0	12000	White-cheeked Barbet	whcbar1	0.1038	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	30.0
15	Spectrogram 1	1	33.0	36.0	0	12000	White-cheeked Barbet	whcbar1	0.2372	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	33.0
16	Spectrogram 1	1	36.0	39.0	0	12000	White-cheeked Barbet	whcbar1	0.3463	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	36.0
17	Spectrogram 1	1	39.0	42.0	0	12000	White-cheeked Barbet	whcbar1	0.4873	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	39.0
18	Spectrogram 1	1	39.0	42.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1819	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	39.0
19	Spectrogram 1	1	42.0	45.0	0	12000	White-cheeked Barbet	whcbar1	0.3868	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	42.0
20	Spectrogram 1	1	45.0	48.0	0	12000	White-cheeked Barbet	whcbar1	0.5478	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	45.0
21	Spectrogram 1	1	48.0	51.0	0	12000	Yellow-browed Bulbul	yebbul3	0.2985	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	48.0
22	Spectrogram 1	1	48.0	51.0	0	12000	White-bellied Treepie	whbtre1	0.1371	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	48.0
23	Spectrogram 1	1	48.0	51.0	0	12000	Gray Junglefowl	grejun2	0.1211	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	48.0
24	Spectrogram 1	1	51.0	54.0	0	12000	White-cheeked Barbet	whcbar1	0.2508	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	51.0
25	Spectrogram 1	1	51.0	54.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1069	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_081500.wav	51.0
