Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1059	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	0.0
2	Spectrogram 1	1	9.0	12.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1959	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	9.0
3	Spectrogram 1	1	12.0	15.0	0	12000	White-cheeked Barbet	whcbar1	0.1113	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	12.0
4	Spectrogram 1	1	18.0	21.0	0	12000	Southern Hill Myna	sohmyn1	0.1201	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	18.0
5	Spectrogram 1	1	24.0	27.0	0	12000	Gray Junglefowl	grejun2	0.8422	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	24.0
6	Spectrogram 1	1	27.0	30.0	0	12000	Southern Hill Myna	sohmyn1	0.2760	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	27.0
7	Spectrogram 1	1	36.0	39.0	0	12000	White-cheeked Barbet	whcbar1	0.1025	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	36.0
8	Spectrogram 1	1	39.0	42.0	0	12000	Southern Hill Myna	sohmyn1	0.1017	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	39.0
9	Spectrogram 1	1	42.0	45.0	0	12000	Indian Scimitar-Babbler	insbab1	0.7292	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	42.0
10	Spectrogram 1	1	48.0	51.0	0	12000	Oriental Magpie-Robin	magrob	0.1000	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	48.0
11	Spectrogram 1	1	54.0	57.0	0	12000	Southern Hill Myna	sohmyn1	0.1179	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	54.0
12	Spectrogram 1	1	57.0	60.0	0	12000	Gray Junglefowl	grejun2	0.1200	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	57.0
13	Spectrogram 1	1	78.0	81.0	0	12000	Orange-headed Thrush	orhthr1	0.2078	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	78.0
14	Spectrogram 1	1	81.0	84.0	0	12000	Golden-fronted Leafbird	goflea1	0.2912	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	81.0
15	Spectrogram 1	1	99.0	102.0	0	12000	Orange-headed Thrush	orhthr1	0.1495	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	99.0
16	Spectrogram 1	1	102.0	105.0	0	12000	Orange-headed Thrush	orhthr1	0.1255	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	102.0
17	Spectrogram 1	1	105.0	108.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1138	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	105.0
18	Spectrogram 1	1	105.0	108.0	0	12000	White-cheeked Barbet	whcbar1	0.1070	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	105.0
19	Spectrogram 1	1	108.0	111.0	0	12000	Orange-headed Thrush	orhthr1	0.1865	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	108.0
20	Spectrogram 1	1	111.0	114.0	0	12000	Orange-headed Thrush	orhthr1	0.1278	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	111.0
21	Spectrogram 1	1	120.0	123.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1605	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	120.0
22	Spectrogram 1	1	132.0	135.0	0	12000	White-cheeked Barbet	whcbar1	0.7897	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	132.0
23	Spectrogram 1	1	135.0	138.0	0	12000	Greenish Warbler	grewar3	0.6146	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	135.0
24	Spectrogram 1	1	135.0	138.0	0	12000	White-cheeked Barbet	whcbar1	0.5112	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	135.0
25	Spectrogram 1	1	138.0	141.0	0	12000	Greenish Warbler	grewar3	0.2710	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	138.0
26	Spectrogram 1	1	138.0	141.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.2118	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	138.0
27	Spectrogram 1	1	138.0	141.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1660	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	138.0
28	Spectrogram 1	1	141.0	144.0	0	12000	Green Warbler	grnwar1	0.1508	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	141.0
29	Spectrogram 1	1	141.0	144.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1063	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	141.0
30	Spectrogram 1	1	147.0	150.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1332	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	147.0
31	Spectrogram 1	1	150.0	153.0	0	12000	Green Warbler	grnwar1	0.1578	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	150.0
32	Spectrogram 1	1	153.0	156.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.3100	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	153.0
33	Spectrogram 1	1	153.0	156.0	0	12000	Indian Scimitar-Babbler	insbab1	0.2490	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	153.0
34	Spectrogram 1	1	153.0	156.0	0	12000	Green Warbler	grnwar1	0.1454	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	153.0
35	Spectrogram 1	1	153.0	156.0	0	12000	Greenish Warbler	grewar3	0.1000	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	153.0
36	Spectrogram 1	1	156.0	159.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.3005	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	156.0
37	Spectrogram 1	1	156.0	159.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1908	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	156.0
38	Spectrogram 1	1	156.0	159.0	0	12000	Green Warbler	grnwar1	0.1111	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	156.0
39	Spectrogram 1	1	159.0	162.0	0	12000	Green Warbler	grnwar1	0.2692	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	159.0
40	Spectrogram 1	1	159.0	162.0	0	12000	Indian Scimitar-Babbler	insbab1	0.2108	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	159.0
41	Spectrogram 1	1	159.0	162.0	0	12000	Greenish Warbler	grewar3	0.1779	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	159.0
42	Spectrogram 1	1	159.0	162.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1672	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	159.0
43	Spectrogram 1	1	162.0	165.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.3652	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	162.0
44	Spectrogram 1	1	162.0	165.0	0	12000	Greenish Warbler	grewar3	0.3142	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	162.0
45	Spectrogram 1	1	162.0	165.0	0	12000	Green Warbler	grnwar1	0.2813	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	162.0
46	Spectrogram 1	1	162.0	165.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1542	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	162.0
47	Spectrogram 1	1	165.0	168.0	0	12000	Indian Scimitar-Babbler	insbab1	0.2062	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	165.0
48	Spectrogram 1	1	165.0	168.0	0	12000	Green Warbler	grnwar1	0.1552	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	165.0
49	Spectrogram 1	1	165.0	168.0	0	12000	Greenish Warbler	grewar3	0.1305	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	165.0
50	Spectrogram 1	1	168.0	171.0	0	12000	Green Warbler	grnwar1	0.1572	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	168.0
51	Spectrogram 1	1	168.0	171.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1403	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	168.0
52	Spectrogram 1	1	168.0	171.0	0	12000	Greenish Warbler	grewar3	0.1225	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	168.0
53	Spectrogram 1	1	174.0	177.0	0	12000	Green Warbler	grnwar1	0.3274	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	174.0
54	Spectrogram 1	1	174.0	177.0	0	12000	Indian Scimitar-Babbler	insbab1	0.2078	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	174.0
55	Spectrogram 1	1	174.0	177.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1252	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	174.0
56	Spectrogram 1	1	177.0	180.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1063	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	177.0
57	Spectrogram 1	1	180.0	183.0	0	12000	Greenish Warbler	grewar3	0.3055	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	180.0
58	Spectrogram 1	1	180.0	183.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.2199	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	180.0
59	Spectrogram 1	1	180.0	183.0	0	12000	Green Warbler	grnwar1	0.1531	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	180.0
60	Spectrogram 1	1	183.0	186.0	0	12000	Indian Scimitar-Babbler	insbab1	0.2120	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	183.0
61	Spectrogram 1	1	183.0	186.0	0	12000	White-cheeked Barbet	whcbar1	0.1592	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	183.0
62	Spectrogram 1	1	183.0	186.0	0	12000	Green Warbler	grnwar1	0.1333	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	183.0
63	Spectrogram 1	1	183.0	186.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1080	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	183.0
64	Spectrogram 1	1	186.0	189.0	0	12000	Indian Scimitar-Babbler	insbab1	0.2354	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	186.0
65	Spectrogram 1	1	186.0	189.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1089	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	186.0
66	Spectrogram 1	1	189.0	192.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.4566	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	189.0
67	Spectrogram 1	1	189.0	192.0	0	12000	Indian Scimitar-Babbler	insbab1	0.2539	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	189.0
68	Spectrogram 1	1	192.0	195.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1700	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	192.0
69	Spectrogram 1	1	192.0	195.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1005	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	192.0
70	Spectrogram 1	1	195.0	198.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1042	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	195.0
71	Spectrogram 1	1	198.0	201.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.2499	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	198.0
72	Spectrogram 1	1	198.0	201.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1447	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	198.0
73	Spectrogram 1	1	201.0	204.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1670	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	201.0
74	Spectrogram 1	1	204.0	207.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.3041	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	204.0
75	Spectrogram 1	1	204.0	207.0	0	12000	White-cheeked Barbet	whcbar1	0.1364	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	204.0
76	Spectrogram 1	1	207.0	210.0	0	12000	White-cheeked Barbet	whcbar1	0.1404	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	207.0
77	Spectrogram 1	1	207.0	210.0	0	12000	Gray Junglefowl	grejun2	0.1098	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	207.0
78	Spectrogram 1	1	207.0	210.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1013	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	207.0
79	Spectrogram 1	1	210.0	213.0	0	12000	Indian Scimitar-Babbler	insbab1	0.3832	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	210.0
80	Spectrogram 1	1	210.0	213.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1892	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	210.0
81	Spectrogram 1	1	210.0	213.0	0	12000	White-cheeked Barbet	whcbar1	0.1863	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	210.0
82	Spectrogram 1	1	210.0	213.0	0	12000	Gray Junglefowl	grejun2	0.1041	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	210.0
83	Spectrogram 1	1	213.0	216.0	0	12000	Indian Scimitar-Babbler	insbab1	0.2875	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	213.0
84	Spectrogram 1	1	213.0	216.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1588	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	213.0
85	Spectrogram 1	1	213.0	216.0	0	12000	White-cheeked Barbet	whcbar1	0.1136	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	213.0
86	Spectrogram 1	1	216.0	219.0	0	12000	Indian Scimitar-Babbler	insbab1	0.2042	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260214_070000.wav	216.0
