Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	12000	White-cheeked Barbet	whcbar1	0.7236	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	0.0
2	Spectrogram 1	1	3.0	6.0	0	12000	White-cheeked Barbet	whcbar1	0.6915	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	3.0
3	Spectrogram 1	1	6.0	9.0	0	12000	Gray Junglefowl	grejun2	0.1775	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	6.0
4	Spectrogram 1	1	12.0	15.0	0	12000	Yellow-browed Bulbul	yebbul3	0.2432	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	12.0
5	Spectrogram 1	1	12.0	15.0	0	12000	Gray Junglefowl	grejun2	0.1161	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	12.0
6	Spectrogram 1	1	15.0	18.0	0	12000	Yellow-browed Bulbul	yebbul3	0.1324	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	15.0
7	Spectrogram 1	1	15.0	18.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1024	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	15.0
8	Spectrogram 1	1	18.0	21.0	0	12000	Gray Junglefowl	grejun2	0.5437	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	18.0
9	Spectrogram 1	1	24.0	27.0	0	12000	White-cheeked Barbet	whcbar1	0.8360	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	24.0
10	Spectrogram 1	1	27.0	30.0	0	12000	White-cheeked Barbet	whcbar1	0.8910	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	27.0
11	Spectrogram 1	1	30.0	33.0	0	12000	White-cheeked Barbet	whcbar1	0.7594	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	30.0
12	Spectrogram 1	1	33.0	36.0	0	12000	White-cheeked Barbet	whcbar1	0.9051	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	33.0
13	Spectrogram 1	1	36.0	39.0	0	12000	White-cheeked Barbet	whcbar1	0.8122	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	36.0
14	Spectrogram 1	1	36.0	39.0	0	12000	Yellow-browed Bulbul	yebbul3	0.1580	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	36.0
15	Spectrogram 1	1	39.0	42.0	0	12000	White-cheeked Barbet	whcbar1	0.8767	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	39.0
16	Spectrogram 1	1	42.0	45.0	0	12000	Gray Junglefowl	grejun2	0.1048	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	42.0
17	Spectrogram 1	1	45.0	48.0	0	12000	Gray Junglefowl	grejun2	0.3458	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	45.0
18	Spectrogram 1	1	45.0	48.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1255	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	45.0
19	Spectrogram 1	1	48.0	51.0	0	12000	White-cheeked Barbet	whcbar1	0.6630	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	48.0
20	Spectrogram 1	1	51.0	54.0	0	12000	White-cheeked Barbet	whcbar1	0.9867	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	51.0
21	Spectrogram 1	1	54.0	57.0	0	12000	White-cheeked Barbet	whcbar1	0.9941	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	54.0
22	Spectrogram 1	1	57.0	60.0	0	12000	White-cheeked Barbet	whcbar1	0.7330	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	57.0
23	Spectrogram 1	1	60.0	63.0	0	12000	White-cheeked Barbet	whcbar1	0.9206	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	60.0
24	Spectrogram 1	1	60.0	63.0	0	12000	Jungle Owlet	junowl1	0.2683	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	60.0
25	Spectrogram 1	1	63.0	66.0	0	12000	White-cheeked Barbet	whcbar1	0.7749	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	63.0
26	Spectrogram 1	1	63.0	66.0	0	12000	Jungle Owlet	junowl1	0.1582	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	63.0
27	Spectrogram 1	1	66.0	69.0	0	12000	White-cheeked Barbet	whcbar1	0.9874	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	66.0
28	Spectrogram 1	1	69.0	72.0	0	12000	White-cheeked Barbet	whcbar1	0.8361	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	69.0
29	Spectrogram 1	1	72.0	75.0	0	12000	White-cheeked Barbet	whcbar1	0.9727	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	72.0
30	Spectrogram 1	1	75.0	78.0	0	12000	White-cheeked Barbet	whcbar1	0.7507	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	75.0
31	Spectrogram 1	1	81.0	84.0	0	12000	White-cheeked Barbet	whcbar1	0.4675	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	81.0
32	Spectrogram 1	1	81.0	84.0	0	12000	Yellow-browed Bulbul	yebbul3	0.3558	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	81.0
33	Spectrogram 1	1	84.0	87.0	0	12000	White-cheeked Barbet	whcbar1	0.4026	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	84.0
34	Spectrogram 1	1	87.0	90.0	0	12000	White-cheeked Barbet	whcbar1	0.2760	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	87.0
35	Spectrogram 1	1	93.0	96.0	0	12000	White-cheeked Barbet	whcbar1	0.2352	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	93.0
36	Spectrogram 1	1	96.0	99.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1519	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	96.0
37	Spectrogram 1	1	96.0	99.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1379	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	96.0
38	Spectrogram 1	1	96.0	99.0	0	12000	White-cheeked Barbet	whcbar1	0.1123	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	96.0
39	Spectrogram 1	1	99.0	102.0	0	12000	Gray Junglefowl	grejun2	0.9839	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	99.0
40	Spectrogram 1	1	102.0	105.0	0	12000	Gray Junglefowl	grejun2	0.6051	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	102.0
41	Spectrogram 1	1	102.0	105.0	0	12000	White-cheeked Barbet	whcbar1	0.2377	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	102.0
42	Spectrogram 1	1	105.0	108.0	0	12000	White-cheeked Barbet	whcbar1	0.8758	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	105.0
43	Spectrogram 1	1	108.0	111.0	0	12000	White-cheeked Barbet	whcbar1	0.9536	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	108.0
44	Spectrogram 1	1	111.0	114.0	0	12000	Gray Junglefowl	grejun2	0.9946	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	111.0
45	Spectrogram 1	1	114.0	117.0	0	12000	White-cheeked Barbet	whcbar1	0.3246	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	114.0
46	Spectrogram 1	1	117.0	120.0	0	12000	White-cheeked Barbet	whcbar1	0.4215	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	117.0
47	Spectrogram 1	1	120.0	123.0	0	12000	Gray Junglefowl	grejun2	0.9441	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	120.0
48	Spectrogram 1	1	123.0	126.0	0	12000	Gray Junglefowl	grejun2	0.8701	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	123.0
49	Spectrogram 1	1	129.0	132.0	0	12000	Gray Junglefowl	grejun2	0.9703	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	129.0
50	Spectrogram 1	1	129.0	132.0	0	12000	White-cheeked Barbet	whcbar1	0.1120	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	129.0
51	Spectrogram 1	1	132.0	135.0	0	12000	White-cheeked Barbet	whcbar1	0.5664	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	132.0
52	Spectrogram 1	1	132.0	135.0	0	12000	Indian White-eye	indwhe1	0.2748	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260208_171500.wav	132.0
