Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	12000	White-cheeked Barbet	whcbar1	0.2388	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	0.0
2	Spectrogram 1	1	3.0	6.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.6722	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	3.0
3	Spectrogram 1	1	3.0	6.0	0	12000	White-cheeked Barbet	whcbar1	0.5213	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	3.0
4	Spectrogram 1	1	6.0	9.0	0	12000	White-cheeked Barbet	whcbar1	0.4356	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	6.0
5	Spectrogram 1	1	6.0	9.0	0	12000	Indian Scimitar-Babbler	insbab1	0.2074	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	6.0
6	Spectrogram 1	1	6.0	9.0	0	12000	Gray Junglefowl	grejun2	0.1194	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	6.0
7	Spectrogram 1	1	9.0	12.0	0	12000	White-cheeked Barbet	whcbar1	0.6408	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	9.0
8	Spectrogram 1	1	9.0	12.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.2856	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	9.0
9	Spectrogram 1	1	12.0	15.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.5390	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	12.0
10	Spectrogram 1	1	12.0	15.0	0	12000	Gray Junglefowl	grejun2	0.1727	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	12.0
11	Spectrogram 1	1	15.0	18.0	0	12000	Gray Junglefowl	grejun2	0.2910	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	15.0
12	Spectrogram 1	1	15.0	18.0	0	12000	Indian Scimitar-Babbler	insbab1	0.2271	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	15.0
13	Spectrogram 1	1	15.0	18.0	0	12000	Greenish Warbler	grewar3	0.1266	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	15.0
14	Spectrogram 1	1	18.0	21.0	0	12000	White-cheeked Barbet	whcbar1	0.7198	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	18.0
15	Spectrogram 1	1	21.0	24.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.3419	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	21.0
16	Spectrogram 1	1	24.0	27.0	0	12000	Gray Junglefowl	grejun2	0.3071	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	24.0
17	Spectrogram 1	1	24.0	27.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.2660	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	24.0
18	Spectrogram 1	1	27.0	30.0	0	12000	White-cheeked Barbet	whcbar1	0.2256	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	27.0
19	Spectrogram 1	1	27.0	30.0	0	12000	Gray Junglefowl	grejun2	0.1058	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	27.0
20	Spectrogram 1	1	30.0	33.0	0	12000	White-cheeked Barbet	whcbar1	0.4578	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	30.0
21	Spectrogram 1	1	33.0	36.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.4667	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	33.0
22	Spectrogram 1	1	33.0	36.0	0	12000	White-cheeked Barbet	whcbar1	0.1814	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	33.0
23	Spectrogram 1	1	36.0	39.0	0	12000	White-cheeked Barbet	whcbar1	0.2113	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	36.0
24	Spectrogram 1	1	39.0	42.0	0	12000	Gray Junglefowl	grejun2	0.2046	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	39.0
25	Spectrogram 1	1	39.0	42.0	0	12000	White-cheeked Barbet	whcbar1	0.1848	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	39.0
26	Spectrogram 1	1	42.0	45.0	0	12000	White-cheeked Barbet	whcbar1	0.4013	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	42.0
27	Spectrogram 1	1	42.0	45.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1257	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	42.0
28	Spectrogram 1	1	45.0	48.0	0	12000	White-cheeked Barbet	whcbar1	0.3777	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	45.0
29	Spectrogram 1	1	45.0	48.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1591	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	45.0
30	Spectrogram 1	1	48.0	51.0	0	12000	Jungle Owlet	junowl1	0.1042	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	48.0
31	Spectrogram 1	1	57.0	60.0	0	12000	White-cheeked Barbet	whcbar1	0.2658	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	57.0
32	Spectrogram 1	1	60.0	63.0	0	12000	White-cheeked Barbet	whcbar1	0.7231	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	60.0
33	Spectrogram 1	1	63.0	66.0	0	12000	Indian White-eye	indwhe1	0.3946	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	63.0
34	Spectrogram 1	1	66.0	69.0	0	12000	White-cheeked Barbet	whcbar1	0.7654	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	66.0
35	Spectrogram 1	1	69.0	72.0	0	12000	White-cheeked Barbet	whcbar1	0.1946	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	69.0
36	Spectrogram 1	1	72.0	75.0	0	12000	White-cheeked Barbet	whcbar1	0.7284	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	72.0
37	Spectrogram 1	1	78.0	81.0	0	12000	White-cheeked Barbet	whcbar1	0.1143	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	78.0
38	Spectrogram 1	1	81.0	84.0	0	12000	White-cheeked Barbet	whcbar1	0.6494	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	81.0
39	Spectrogram 1	1	84.0	87.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1222	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	84.0
40	Spectrogram 1	1	84.0	87.0	0	12000	Gray Junglefowl	grejun2	0.1023	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	84.0
41	Spectrogram 1	1	87.0	90.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.7035	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	87.0
42	Spectrogram 1	1	87.0	90.0	0	12000	White-cheeked Barbet	whcbar1	0.3174	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	87.0
43	Spectrogram 1	1	90.0	93.0	0	12000	White-cheeked Barbet	whcbar1	0.6380	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	90.0
44	Spectrogram 1	1	93.0	96.0	0	12000	White-cheeked Barbet	whcbar1	0.2701	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	93.0
45	Spectrogram 1	1	93.0	96.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1544	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	93.0
46	Spectrogram 1	1	96.0	99.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.5621	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	96.0
47	Spectrogram 1	1	96.0	99.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1518	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	96.0
48	Spectrogram 1	1	99.0	102.0	0	12000	White-cheeked Barbet	whcbar1	0.6868	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	99.0
49	Spectrogram 1	1	102.0	105.0	0	12000	White-cheeked Barbet	whcbar1	0.6708	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	102.0
50	Spectrogram 1	1	105.0	108.0	0	12000	White-cheeked Barbet	whcbar1	0.7806	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	105.0
51	Spectrogram 1	1	108.0	111.0	0	12000	White-cheeked Barbet	whcbar1	0.8629	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260130_071500.wav	108.0
