Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	12000	White-cheeked Barbet	whcbar1	0.8616	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	0.0
2	Spectrogram 1	1	3.0	6.0	0	12000	White-cheeked Barbet	whcbar1	0.9443	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	3.0
3	Spectrogram 1	1	6.0	9.0	0	12000	White-cheeked Barbet	whcbar1	0.8558	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	6.0
4	Spectrogram 1	1	9.0	12.0	0	12000	White-cheeked Barbet	whcbar1	0.7965	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	9.0
5	Spectrogram 1	1	12.0	15.0	0	12000	White-cheeked Barbet	whcbar1	0.3097	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	12.0
6	Spectrogram 1	1	15.0	18.0	0	12000	Gray Junglefowl	grejun2	0.9951	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	15.0
7	Spectrogram 1	1	15.0	18.0	0	12000	White-cheeked Barbet	whcbar1	0.1008	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	15.0
8	Spectrogram 1	1	18.0	21.0	0	12000	White-cheeked Barbet	whcbar1	0.2254	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	18.0
9	Spectrogram 1	1	21.0	24.0	0	12000	Indian Scimitar-Babbler	insbab1	0.3904	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	21.0
10	Spectrogram 1	1	24.0	27.0	0	12000	Malabar Whistling-Thrush	mawthr1	0.1241	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	24.0
11	Spectrogram 1	1	27.0	30.0	0	12000	Gray Junglefowl	grejun2	0.9981	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	27.0
12	Spectrogram 1	1	30.0	33.0	0	12000	White-cheeked Barbet	whcbar1	0.7825	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	30.0
13	Spectrogram 1	1	30.0	33.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1092	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	30.0
14	Spectrogram 1	1	33.0	36.0	0	12000	White-cheeked Barbet	whcbar1	0.8029	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	33.0
15	Spectrogram 1	1	33.0	36.0	0	12000	Flame-throated Bulbul	bkcbul1	0.1307	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	33.0
16	Spectrogram 1	1	36.0	39.0	0	12000	White-cheeked Barbet	whcbar1	0.8697	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	36.0
17	Spectrogram 1	1	39.0	42.0	0	12000	White-cheeked Barbet	whcbar1	0.7607	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	39.0
18	Spectrogram 1	1	42.0	45.0	0	12000	Oriental Magpie-Robin	magrob	0.1243	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	42.0
19	Spectrogram 1	1	42.0	45.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1119	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	42.0
20	Spectrogram 1	1	45.0	48.0	0	12000	Gray Junglefowl	grejun2	0.9973	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	45.0
21	Spectrogram 1	1	48.0	51.0	0	12000	White-cheeked Barbet	whcbar1	0.8651	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	48.0
22	Spectrogram 1	1	51.0	54.0	0	12000	White-cheeked Barbet	whcbar1	0.7686	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	51.0
23	Spectrogram 1	1	54.0	57.0	0	12000	White-cheeked Barbet	whcbar1	0.9494	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	54.0
24	Spectrogram 1	1	57.0	60.0	0	12000	White-cheeked Barbet	whcbar1	0.8550	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	57.0
25	Spectrogram 1	1	60.0	63.0	0	12000	White-cheeked Barbet	whcbar1	0.8903	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	60.0
26	Spectrogram 1	1	63.0	66.0	0	12000	White-cheeked Barbet	whcbar1	0.2889	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	63.0
27	Spectrogram 1	1	63.0	66.0	0	12000	Large-billed Crow	labcro1	0.1801	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	63.0
28	Spectrogram 1	1	66.0	69.0	0	12000	White-cheeked Barbet	whcbar1	0.5070	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	66.0
29	Spectrogram 1	1	69.0	72.0	0	12000	White-cheeked Barbet	whcbar1	0.7786	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	69.0
30	Spectrogram 1	1	72.0	75.0	0	12000	White-cheeked Barbet	whcbar1	0.5374	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	72.0
31	Spectrogram 1	1	75.0	78.0	0	12000	Gray Junglefowl	grejun2	0.9882	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	75.0
32	Spectrogram 1	1	78.0	81.0	0	12000	White-cheeked Barbet	whcbar1	0.8641	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	78.0
33	Spectrogram 1	1	81.0	84.0	0	12000	White-cheeked Barbet	whcbar1	0.8361	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	81.0
34	Spectrogram 1	1	84.0	87.0	0	12000	White-cheeked Barbet	whcbar1	0.2609	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	84.0
35	Spectrogram 1	1	87.0	90.0	0	12000	White-cheeked Barbet	whcbar1	0.9539	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	87.0
36	Spectrogram 1	1	90.0	93.0	0	12000	White-cheeked Barbet	whcbar1	0.9318	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	90.0
37	Spectrogram 1	1	93.0	96.0	0	12000	White-cheeked Barbet	whcbar1	0.9083	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	93.0
38	Spectrogram 1	1	96.0	99.0	0	12000	White-cheeked Barbet	whcbar1	0.2218	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	96.0
39	Spectrogram 1	1	102.0	105.0	0	12000	Indian White-eye	indwhe1	0.1724	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_071500.wav	102.0
