Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	12000	White-cheeked Barbet	whcbar1	0.2313	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_074500.wav	0.0
2	Spectrogram 1	1	3.0	6.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.9096	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_074500.wav	3.0
3	Spectrogram 1	1	3.0	6.0	0	12000	White-cheeked Barbet	whcbar1	0.2198	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_074500.wav	3.0
4	Spectrogram 1	1	3.0	6.0	0	12000	Yellow-browed Bulbul	yebbul3	0.1941	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_074500.wav	3.0
5	Spectrogram 1	1	6.0	9.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.7420	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_074500.wav	6.0
6	Spectrogram 1	1	6.0	9.0	0	12000	White-cheeked Barbet	whcbar1	0.7108	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_074500.wav	6.0
7	Spectrogram 1	1	9.0	12.0	0	12000	White-cheeked Barbet	whcbar1	0.8818	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_074500.wav	9.0
8	Spectrogram 1	1	9.0	12.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.2924	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_074500.wav	9.0
9	Spectrogram 1	1	12.0	15.0	0	12000	White-cheeked Barbet	whcbar1	0.9215	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_074500.wav	12.0
10	Spectrogram 1	1	15.0	18.0	0	12000	White-cheeked Barbet	whcbar1	0.9584	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_074500.wav	15.0
11	Spectrogram 1	1	18.0	21.0	0	12000	White-cheeked Barbet	whcbar1	0.9786	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_074500.wav	18.0
12	Spectrogram 1	1	21.0	24.0	0	12000	White-cheeked Barbet	whcbar1	0.4576	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_074500.wav	21.0
13	Spectrogram 1	1	21.0	24.0	0	12000	Indian Scimitar-Babbler	insbab1	0.2582	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_074500.wav	21.0
14	Spectrogram 1	1	21.0	24.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1862	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_074500.wav	21.0
15	Spectrogram 1	1	21.0	24.0	0	12000	Gray Junglefowl	grejun2	0.1078	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_074500.wav	21.0
16	Spectrogram 1	1	24.0	27.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.7166	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_074500.wav	24.0
