Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	12000	Indian White-eye	indwhe1	0.2626	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	0.0
2	Spectrogram 1	1	3.0	6.0	0	12000	Indian White-eye	indwhe1	0.2644	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	3.0
3	Spectrogram 1	1	3.0	6.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1300	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	3.0
4	Spectrogram 1	1	3.0	6.0	0	12000	Malabar Whistling-Thrush	mawthr1	0.1120	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	3.0
5	Spectrogram 1	1	6.0	9.0	0	12000	Indian White-eye	indwhe1	0.4870	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	6.0
6	Spectrogram 1	1	12.0	15.0	0	12000	Indian White-eye	indwhe1	0.4193	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	12.0
7	Spectrogram 1	1	12.0	15.0	0	12000	Malabar Whistling-Thrush	mawthr1	0.1029	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	12.0
8	Spectrogram 1	1	15.0	18.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1111	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	15.0
9	Spectrogram 1	1	18.0	21.0	0	12000	Indian White-eye	indwhe1	0.4523	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	18.0
10	Spectrogram 1	1	21.0	24.0	0	12000	Indian White-eye	indwhe1	0.5468	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	21.0
11	Spectrogram 1	1	24.0	27.0	0	12000	Gray Junglefowl	grejun2	0.1905	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	24.0
12	Spectrogram 1	1	24.0	27.0	0	12000	Indian White-eye	indwhe1	0.1625	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	24.0
13	Spectrogram 1	1	27.0	30.0	0	12000	Indian White-eye	indwhe1	0.1548	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	27.0
14	Spectrogram 1	1	30.0	33.0	0	12000	Indian White-eye	indwhe1	0.3049	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	30.0
15	Spectrogram 1	1	30.0	33.0	0	12000	Malabar Whistling-Thrush	mawthr1	0.1118	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	30.0
16	Spectrogram 1	1	36.0	39.0	0	12000	Malabar Whistling-Thrush	mawthr1	0.2966	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	36.0
17	Spectrogram 1	1	36.0	39.0	0	12000	Indian White-eye	indwhe1	0.2250	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	36.0
18	Spectrogram 1	1	42.0	45.0	0	12000	Indian White-eye	indwhe1	0.3899	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	42.0
19	Spectrogram 1	1	45.0	48.0	0	12000	Indian White-eye	indwhe1	0.1337	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	45.0
20	Spectrogram 1	1	51.0	54.0	0	12000	Gray Junglefowl	grejun2	0.4851	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	51.0
21	Spectrogram 1	1	51.0	54.0	0	12000	Indian White-eye	indwhe1	0.1608	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	51.0
22	Spectrogram 1	1	51.0	54.0	0	12000	Malabar Whistling-Thrush	mawthr1	0.1576	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	51.0
23	Spectrogram 1	1	57.0	60.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1865	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	57.0
24	Spectrogram 1	1	63.0	66.0	0	12000	Indian White-eye	indwhe1	0.2310	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	63.0
25	Spectrogram 1	1	69.0	72.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1213	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260124_063000.wav	69.0
