Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	12000	White-cheeked Barbet	whcbar1	0.4378	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	0.0
2	Spectrogram 1	1	0.0	3.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1211	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	0.0
3	Spectrogram 1	1	3.0	6.0	0	12000	White-cheeked Barbet	whcbar1	0.8575	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	3.0
4	Spectrogram 1	1	6.0	9.0	0	12000	White-cheeked Barbet	whcbar1	0.4542	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	6.0
5	Spectrogram 1	1	6.0	9.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1010	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	6.0
6	Spectrogram 1	1	9.0	12.0	0	12000	White-cheeked Barbet	whcbar1	0.7245	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	9.0
7	Spectrogram 1	1	12.0	15.0	0	12000	White-cheeked Barbet	whcbar1	0.5874	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	12.0
8	Spectrogram 1	1	15.0	18.0	0	12000	White-cheeked Barbet	whcbar1	0.2469	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	15.0
9	Spectrogram 1	1	15.0	18.0	0	12000	Yellow-browed Bulbul	yebbul3	0.1091	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	15.0
10	Spectrogram 1	1	18.0	21.0	0	12000	White-cheeked Barbet	whcbar1	0.7476	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	18.0
11	Spectrogram 1	1	21.0	24.0	0	12000	White-cheeked Barbet	whcbar1	0.8348	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	21.0
12	Spectrogram 1	1	24.0	27.0	0	12000	White-cheeked Barbet	whcbar1	0.6055	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	24.0
13	Spectrogram 1	1	27.0	30.0	0	12000	White-cheeked Barbet	whcbar1	0.5305	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	27.0
14	Spectrogram 1	1	30.0	33.0	0	12000	White-cheeked Barbet	whcbar1	0.3212	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	30.0
15	Spectrogram 1	1	33.0	36.0	0	12000	White-cheeked Barbet	whcbar1	0.8445	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	33.0
16	Spectrogram 1	1	36.0	39.0	0	12000	White-cheeked Barbet	whcbar1	0.5578	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	36.0
17	Spectrogram 1	1	39.0	42.0	0	12000	White-cheeked Barbet	whcbar1	0.3793	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	39.0
18	Spectrogram 1	1	42.0	45.0	0	12000	White-cheeked Barbet	whcbar1	0.9464	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	42.0
19	Spectrogram 1	1	45.0	48.0	0	12000	White-cheeked Barbet	whcbar1	0.9888	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	45.0
20	Spectrogram 1	1	48.0	51.0	0	12000	White-cheeked Barbet	whcbar1	0.9131	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	48.0
21	Spectrogram 1	1	51.0	54.0	0	12000	White-cheeked Barbet	whcbar1	0.9423	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	51.0
22	Spectrogram 1	1	54.0	57.0	0	12000	White-cheeked Barbet	whcbar1	0.9751	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	54.0
23	Spectrogram 1	1	57.0	60.0	0	12000	White-cheeked Barbet	whcbar1	0.9901	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	57.0
24	Spectrogram 1	1	60.0	63.0	0	12000	White-cheeked Barbet	whcbar1	0.9245	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	60.0
25	Spectrogram 1	1	63.0	66.0	0	12000	White-cheeked Barbet	whcbar1	0.9502	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	63.0
26	Spectrogram 1	1	66.0	69.0	0	12000	White-cheeked Barbet	whcbar1	0.8566	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	66.0
27	Spectrogram 1	1	69.0	72.0	0	12000	White-cheeked Barbet	whcbar1	0.6084	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	69.0
28	Spectrogram 1	1	69.0	72.0	0	12000	Jungle Owlet	junowl1	0.1036	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	69.0
29	Spectrogram 1	1	72.0	75.0	0	12000	White-cheeked Barbet	whcbar1	0.9653	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	72.0
30	Spectrogram 1	1	75.0	78.0	0	12000	White-cheeked Barbet	whcbar1	0.9428	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	75.0
31	Spectrogram 1	1	78.0	81.0	0	12000	White-cheeked Barbet	whcbar1	0.9435	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	78.0
32	Spectrogram 1	1	81.0	84.0	0	12000	White-cheeked Barbet	whcbar1	0.4712	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	81.0
33	Spectrogram 1	1	84.0	87.0	0	12000	White-cheeked Barbet	whcbar1	0.4829	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	84.0
34	Spectrogram 1	1	87.0	90.0	0	12000	White-cheeked Barbet	whcbar1	0.3835	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	87.0
35	Spectrogram 1	1	87.0	90.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1519	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	87.0
36	Spectrogram 1	1	90.0	93.0	0	12000	White-cheeked Barbet	whcbar1	0.3138	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	90.0
37	Spectrogram 1	1	93.0	96.0	0	12000	White-cheeked Barbet	whcbar1	0.5386	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	93.0
38	Spectrogram 1	1	102.0	105.0	0	12000	White-cheeked Barbet	whcbar1	0.7278	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	102.0
39	Spectrogram 1	1	105.0	108.0	0	12000	White-cheeked Barbet	whcbar1	0.6382	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	105.0
40	Spectrogram 1	1	126.0	129.0	0	12000	White-cheeked Barbet	whcbar1	0.7232	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	126.0
41	Spectrogram 1	1	135.0	138.0	0	12000	White-cheeked Barbet	whcbar1	0.1676	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	135.0
42	Spectrogram 1	1	141.0	144.0	0	12000	Gray Junglefowl	grejun2	0.2179	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	141.0
43	Spectrogram 1	1	144.0	147.0	0	12000	Gray Junglefowl	grejun2	0.2437	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	144.0
44	Spectrogram 1	1	144.0	147.0	0	12000	White-cheeked Barbet	whcbar1	0.2110	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	144.0
45	Spectrogram 1	1	147.0	150.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1142	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	147.0
46	Spectrogram 1	1	150.0	153.0	0	12000	Indian White-eye	indwhe1	0.1100	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	150.0
47	Spectrogram 1	1	153.0	156.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1318	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	153.0
48	Spectrogram 1	1	153.0	156.0	0	12000	Brown-cheeked Fulvetta	brcful1	0.1301	F:\Nilgiris_rawdata\B10-01\Data\B10-01_20260205_171500.wav	153.0
