Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	12000	Gray Junglefowl	grejun2	0.1295	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	0.0
2	Spectrogram 1	1	6.0	9.0	0	12000	Gray Junglefowl	grejun2	0.2744	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	6.0
3	Spectrogram 1	1	6.0	9.0	0	12000	Indian Scimitar-Babbler	insbab1	0.2229	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	6.0
4	Spectrogram 1	1	9.0	12.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1011	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	9.0
5	Spectrogram 1	1	12.0	15.0	0	12000	Gray Junglefowl	grejun2	0.1461	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	12.0
6	Spectrogram 1	1	12.0	15.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1384	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	12.0
7	Spectrogram 1	1	18.0	21.0	0	12000	Greenish Warbler	grewar3	0.1156	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	18.0
8	Spectrogram 1	1	24.0	27.0	0	12000	Indian Scimitar-Babbler	insbab1	0.5092	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	24.0
9	Spectrogram 1	1	24.0	27.0	0	12000	Gray Junglefowl	grejun2	0.4471	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	24.0
10	Spectrogram 1	1	24.0	27.0	0	12000	Green Warbler	grnwar1	0.1721	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	24.0
11	Spectrogram 1	1	24.0	27.0	0	12000	Greenish Warbler	grewar3	0.1171	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	24.0
12	Spectrogram 1	1	27.0	30.0	0	12000	Gray Junglefowl	grejun2	0.4952	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	27.0
13	Spectrogram 1	1	27.0	30.0	0	12000	Indian Scimitar-Babbler	insbab1	0.2277	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	27.0
14	Spectrogram 1	1	27.0	30.0	0	12000	Green Warbler	grnwar1	0.1245	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	27.0
15	Spectrogram 1	1	30.0	33.0	0	12000	Indian Scimitar-Babbler	insbab1	0.8167	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	30.0
16	Spectrogram 1	1	30.0	33.0	0	12000	Gray Junglefowl	grejun2	0.2500	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	30.0
17	Spectrogram 1	1	33.0	36.0	0	12000	Indian Scimitar-Babbler	insbab1	0.7849	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	33.0
18	Spectrogram 1	1	33.0	36.0	0	12000	Gray Junglefowl	grejun2	0.4057	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	33.0
19	Spectrogram 1	1	36.0	39.0	0	12000	Gray Junglefowl	grejun2	0.4406	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	36.0
20	Spectrogram 1	1	36.0	39.0	0	12000	Indian Scimitar-Babbler	insbab1	0.4046	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	36.0
21	Spectrogram 1	1	36.0	39.0	0	12000	Green Warbler	grnwar1	0.1729	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	36.0
22	Spectrogram 1	1	39.0	42.0	0	12000	Gray Junglefowl	grejun2	0.3508	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	39.0
23	Spectrogram 1	1	42.0	45.0	0	12000	Greenish Warbler	grewar3	0.4899	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	42.0
24	Spectrogram 1	1	42.0	45.0	0	12000	Gray Junglefowl	grejun2	0.3311	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	42.0
25	Spectrogram 1	1	42.0	45.0	0	12000	Indian Scimitar-Babbler	insbab1	0.3272	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	42.0
26	Spectrogram 1	1	42.0	45.0	0	12000	Malabar Whistling-Thrush	mawthr1	0.1334	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	42.0
27	Spectrogram 1	1	42.0	45.0	0	12000	Green Warbler	grnwar1	0.1267	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	42.0
28	Spectrogram 1	1	45.0	48.0	0	12000	Greenish Warbler	grewar3	0.3611	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	45.0
29	Spectrogram 1	1	45.0	48.0	0	12000	Green Warbler	grnwar1	0.3162	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	45.0
30	Spectrogram 1	1	45.0	48.0	0	12000	Gray Junglefowl	grejun2	0.1717	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	45.0
31	Spectrogram 1	1	48.0	51.0	0	12000	Indian Scimitar-Babbler	insbab1	0.7103	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	48.0
32	Spectrogram 1	1	48.0	51.0	0	12000	Gray Junglefowl	grejun2	0.3698	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	48.0
33	Spectrogram 1	1	48.0	51.0	0	12000	Green Warbler	grnwar1	0.1675	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	48.0
34	Spectrogram 1	1	51.0	54.0	0	12000	Gray Junglefowl	grejun2	0.5646	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	51.0
35	Spectrogram 1	1	51.0	54.0	0	12000	Indian Scimitar-Babbler	insbab1	0.2918	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	51.0
36	Spectrogram 1	1	54.0	57.0	0	12000	Greenish Warbler	grewar3	0.7165	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	54.0
37	Spectrogram 1	1	54.0	57.0	0	12000	Green Warbler	grnwar1	0.3399	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	54.0
38	Spectrogram 1	1	54.0	57.0	0	12000	Indian Scimitar-Babbler	insbab1	0.2945	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	54.0
39	Spectrogram 1	1	54.0	57.0	0	12000	Gray Junglefowl	grejun2	0.1478	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260209_174500.wav	54.0
