Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	12000	Large-billed Crow	labcro1	0.4670	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	0.0
2	Spectrogram 1	1	3.0	6.0	0	12000	Large-billed Crow	labcro1	0.3048	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	3.0
3	Spectrogram 1	1	3.0	6.0	0	12000	Indian White-eye	indwhe1	0.1690	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	3.0
4	Spectrogram 1	1	9.0	12.0	0	12000	Large-billed Crow	labcro1	0.2029	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	9.0
5	Spectrogram 1	1	12.0	15.0	0	12000	Indian White-eye	indwhe1	0.7262	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	12.0
6	Spectrogram 1	1	12.0	15.0	0	12000	Large-billed Crow	labcro1	0.2016	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	12.0
7	Spectrogram 1	1	15.0	18.0	0	12000	Asian Brown Flycatcher	asbfly	0.2450	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	15.0
8	Spectrogram 1	1	15.0	18.0	0	12000	Large-billed Crow	labcro1	0.1212	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	15.0
9	Spectrogram 1	1	18.0	21.0	0	12000	Large-billed Crow	labcro1	0.2880	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	18.0
10	Spectrogram 1	1	21.0	24.0	0	12000	Large-billed Crow	labcro1	0.2959	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	21.0
11	Spectrogram 1	1	21.0	24.0	0	12000	Asian Brown Flycatcher	asbfly	0.1636	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	21.0
12	Spectrogram 1	1	24.0	27.0	0	12000	Asian Brown Flycatcher	asbfly	0.2734	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	24.0
13	Spectrogram 1	1	24.0	27.0	0	12000	Large-billed Crow	labcro1	0.2307	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	24.0
14	Spectrogram 1	1	30.0	33.0	0	12000	Asian Brown Flycatcher	asbfly	0.1901	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	30.0
15	Spectrogram 1	1	30.0	33.0	0	12000	Large-billed Crow	labcro1	0.1501	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	30.0
16	Spectrogram 1	1	33.0	36.0	0	12000	Asian Brown Flycatcher	asbfly	0.2581	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	33.0
17	Spectrogram 1	1	33.0	36.0	0	12000	Large-billed Crow	labcro1	0.1503	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	33.0
18	Spectrogram 1	1	33.0	36.0	0	12000	Tickell's Blue Flycatcher	tibfly3	0.1109	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	33.0
19	Spectrogram 1	1	36.0	39.0	0	12000	Asian Brown Flycatcher	asbfly	0.3743	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	36.0
20	Spectrogram 1	1	36.0	39.0	0	12000	Large-billed Crow	labcro1	0.1879	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	36.0
21	Spectrogram 1	1	39.0	42.0	0	12000	Asian Brown Flycatcher	asbfly	0.1047	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	39.0
22	Spectrogram 1	1	42.0	45.0	0	12000	Large-billed Crow	labcro1	0.6771	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	42.0
23	Spectrogram 1	1	42.0	45.0	0	12000	Asian Brown Flycatcher	asbfly	0.1366	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	42.0
24	Spectrogram 1	1	45.0	48.0	0	12000	Asian Brown Flycatcher	asbfly	0.1242	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	45.0
25	Spectrogram 1	1	45.0	48.0	0	12000	Large-billed Crow	labcro1	0.1017	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	45.0
26	Spectrogram 1	1	48.0	51.0	0	12000	Asian Brown Flycatcher	asbfly	0.3507	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	48.0
27	Spectrogram 1	1	48.0	51.0	0	12000	Tickell's Blue Flycatcher	tibfly3	0.2060	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	48.0
28	Spectrogram 1	1	57.0	60.0	0	12000	Asian Brown Flycatcher	asbfly	0.2258	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	57.0
29	Spectrogram 1	1	63.0	66.0	0	12000	Asian Brown Flycatcher	asbfly	0.2019	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	63.0
30	Spectrogram 1	1	66.0	69.0	0	12000	Asian Brown Flycatcher	asbfly	0.2564	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	66.0
31	Spectrogram 1	1	69.0	72.0	0	12000	Orange-headed Thrush	orhthr1	0.1351	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	69.0
32	Spectrogram 1	1	69.0	72.0	0	12000	Large-billed Crow	labcro1	0.1244	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	69.0
33	Spectrogram 1	1	78.0	81.0	0	12000	Asian Brown Flycatcher	asbfly	0.2772	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	78.0
34	Spectrogram 1	1	87.0	90.0	0	12000	Asian Brown Flycatcher	asbfly	0.1864	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	87.0
35	Spectrogram 1	1	93.0	96.0	0	12000	Asian Brown Flycatcher	asbfly	0.1735	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	93.0
36	Spectrogram 1	1	93.0	96.0	0	12000	Orange-headed Thrush	orhthr1	0.1308	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	93.0
37	Spectrogram 1	1	99.0	102.0	0	12000	Large-billed Crow	labcro1	0.5716	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	99.0
38	Spectrogram 1	1	102.0	105.0	0	12000	Large-billed Crow	labcro1	0.6811	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	102.0
39	Spectrogram 1	1	105.0	108.0	0	12000	Indian White-eye	indwhe1	0.1697	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	105.0
40	Spectrogram 1	1	114.0	117.0	0	12000	Large-billed Crow	labcro1	0.4895	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_174500.wav	114.0
