Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	3.0	6.0	0	12000	Red-whiskered Bulbul	rewbul	0.3217	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_083000.wav	3.0
2	Spectrogram 1	1	6.0	9.0	0	12000	Red-whiskered Bulbul	rewbul	0.3015	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_083000.wav	6.0
3	Spectrogram 1	1	9.0	12.0	0	12000	Red-whiskered Bulbul	rewbul	0.3173	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_083000.wav	9.0
4	Spectrogram 1	1	24.0	27.0	0	12000	Red-whiskered Bulbul	rewbul	0.2512	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_083000.wav	24.0
5	Spectrogram 1	1	42.0	45.0	0	12000	Red-whiskered Bulbul	rewbul	0.1798	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_083000.wav	42.0
6	Spectrogram 1	1	45.0	48.0	0	12000	Red-whiskered Bulbul	rewbul	0.1155	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_083000.wav	45.0
7	Spectrogram 1	1	48.0	51.0	0	12000	Red-whiskered Bulbul	rewbul	0.7759	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_083000.wav	48.0
8	Spectrogram 1	1	54.0	57.0	0	12000	Red-whiskered Bulbul	rewbul	0.2652	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_083000.wav	54.0
9	Spectrogram 1	1	69.0	72.0	0	12000	Red-whiskered Bulbul	rewbul	0.9259	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_083000.wav	69.0
10	Spectrogram 1	1	72.0	75.0	0	12000	Red-whiskered Bulbul	rewbul	0.4716	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_083000.wav	72.0
11	Spectrogram 1	1	78.0	81.0	0	12000	Red-whiskered Bulbul	rewbul	0.4877	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_083000.wav	78.0
12	Spectrogram 1	1	84.0	87.0	0	12000	Red-whiskered Bulbul	rewbul	0.3983	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_083000.wav	84.0
13	Spectrogram 1	1	93.0	96.0	0	12000	Red-whiskered Bulbul	rewbul	0.3350	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_083000.wav	93.0
14	Spectrogram 1	1	96.0	99.0	0	12000	Red-whiskered Bulbul	rewbul	0.9457	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_083000.wav	96.0
15	Spectrogram 1	1	99.0	102.0	0	12000	Red-whiskered Bulbul	rewbul	0.9803	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_083000.wav	99.0
16	Spectrogram 1	1	102.0	105.0	0	12000	Red-whiskered Bulbul	rewbul	0.9674	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_083000.wav	102.0
17	Spectrogram 1	1	108.0	111.0	0	12000	Red-whiskered Bulbul	rewbul	0.2158	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_083000.wav	108.0
18	Spectrogram 1	1	135.0	138.0	0	12000	Greenish Warbler	grewar3	0.3855	F:\Nilgiris_rawdata\A11-01\Data\A11-01_20260128_083000.wav	135.0
