Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	12000	Indian Scimitar-Babbler	insbab1	0.9511	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_083000.wav	0.0
2	Spectrogram 1	1	3.0	6.0	0	12000	Green Warbler	grnwar1	0.3278	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_083000.wav	3.0
3	Spectrogram 1	1	12.0	15.0	0	12000	Indian Scimitar-Babbler	insbab1	0.9352	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_083000.wav	12.0
4	Spectrogram 1	1	15.0	18.0	0	12000	Gray-headed Bulbul	gyhbul1	0.3714	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_083000.wav	15.0
5	Spectrogram 1	1	15.0	18.0	0	12000	Large-billed Leaf Warbler	lblwar1	0.2613	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_083000.wav	15.0
6	Spectrogram 1	1	18.0	21.0	0	12000	Indian Scimitar-Babbler	insbab1	0.9312	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_083000.wav	18.0
7	Spectrogram 1	1	21.0	24.0	0	12000	White-cheeked Barbet	whcbar1	0.3095	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_083000.wav	21.0
8	Spectrogram 1	1	24.0	27.0	0	12000	Indian Scimitar-Babbler	insbab1	0.9706	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_083000.wav	24.0
9	Spectrogram 1	1	24.0	27.0	0	12000	Green Warbler	grnwar1	0.1540	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_083000.wav	24.0
10	Spectrogram 1	1	27.0	30.0	0	12000	White-cheeked Barbet	whcbar1	0.1080	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_083000.wav	27.0
11	Spectrogram 1	1	33.0	36.0	0	12000	Indian Scimitar-Babbler	insbab1	0.9611	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_083000.wav	33.0
