Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	27.0	30.0	0	12000	Red-whiskered Bulbul	rewbul	0.4705	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	27.0
2	Spectrogram 1	1	36.0	39.0	0	12000	Red-whiskered Bulbul	rewbul	0.9043	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	36.0
3	Spectrogram 1	1	42.0	45.0	0	12000	Red-whiskered Bulbul	rewbul	0.6153	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	42.0
4	Spectrogram 1	1	48.0	51.0	0	12000	Red-whiskered Bulbul	rewbul	0.9164	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	48.0
5	Spectrogram 1	1	51.0	54.0	0	12000	Red-whiskered Bulbul	rewbul	0.2923	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	51.0
6	Spectrogram 1	1	54.0	57.0	0	12000	Red-whiskered Bulbul	rewbul	0.3025	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	54.0
7	Spectrogram 1	1	57.0	60.0	0	12000	Red-whiskered Bulbul	rewbul	0.5058	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	57.0
8	Spectrogram 1	1	60.0	63.0	0	12000	Red-whiskered Bulbul	rewbul	0.6566	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	60.0
9	Spectrogram 1	1	63.0	66.0	0	12000	Red-whiskered Bulbul	rewbul	0.2117	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	63.0
10	Spectrogram 1	1	66.0	69.0	0	12000	Red-whiskered Bulbul	rewbul	0.7923	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	66.0
11	Spectrogram 1	1	69.0	72.0	0	12000	Red-whiskered Bulbul	rewbul	0.2626	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	69.0
12	Spectrogram 1	1	72.0	75.0	0	12000	Red-whiskered Bulbul	rewbul	0.7505	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	72.0
13	Spectrogram 1	1	75.0	78.0	0	12000	Red-whiskered Bulbul	rewbul	0.5147	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	75.0
14	Spectrogram 1	1	78.0	81.0	0	12000	Red-whiskered Bulbul	rewbul	0.7959	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	78.0
15	Spectrogram 1	1	84.0	87.0	0	12000	Red-whiskered Bulbul	rewbul	0.7099	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	84.0
16	Spectrogram 1	1	87.0	90.0	0	12000	Indian White-eye	indwhe1	0.2305	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	87.0
17	Spectrogram 1	1	90.0	93.0	0	12000	Red-whiskered Bulbul	rewbul	0.8576	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	90.0
18	Spectrogram 1	1	93.0	96.0	0	12000	Red-whiskered Bulbul	rewbul	0.4006	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	93.0
19	Spectrogram 1	1	99.0	102.0	0	12000	Red-whiskered Bulbul	rewbul	0.6620	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	99.0
20	Spectrogram 1	1	99.0	102.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1511	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	99.0
21	Spectrogram 1	1	105.0	108.0	0	12000	Red-whiskered Bulbul	rewbul	0.2127	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	105.0
22	Spectrogram 1	1	114.0	117.0	0	12000	Red-whiskered Bulbul	rewbul	0.3421	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	114.0
23	Spectrogram 1	1	117.0	120.0	0	12000	Red-whiskered Bulbul	rewbul	0.5436	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	117.0
24	Spectrogram 1	1	123.0	126.0	0	12000	Red-whiskered Bulbul	rewbul	0.1285	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	123.0
25	Spectrogram 1	1	129.0	132.0	0	12000	Red-whiskered Bulbul	rewbul	0.7060	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	129.0
26	Spectrogram 1	1	132.0	135.0	0	12000	Red-whiskered Bulbul	rewbul	0.6266	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	132.0
27	Spectrogram 1	1	138.0	141.0	0	12000	Red-whiskered Bulbul	rewbul	0.8134	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	138.0
28	Spectrogram 1	1	144.0	147.0	0	12000	Red-whiskered Bulbul	rewbul	0.6802	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	144.0
29	Spectrogram 1	1	147.0	150.0	0	12000	Red-whiskered Bulbul	rewbul	0.5355	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	147.0
30	Spectrogram 1	1	159.0	162.0	0	12000	Indian White-eye	indwhe1	0.7966	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	159.0
31	Spectrogram 1	1	159.0	162.0	0	12000	Dunlin	dunlin	0.3538	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	159.0
32	Spectrogram 1	1	162.0	165.0	0	12000	Red-whiskered Bulbul	rewbul	0.9353	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	162.0
33	Spectrogram 1	1	165.0	168.0	0	12000	Red-whiskered Bulbul	rewbul	0.3901	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	165.0
34	Spectrogram 1	1	168.0	171.0	0	12000	Red-whiskered Bulbul	rewbul	0.4525	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	168.0
35	Spectrogram 1	1	177.0	180.0	0	12000	Red-whiskered Bulbul	rewbul	0.1176	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	177.0
36	Spectrogram 1	1	207.0	210.0	0	12000	Red-whiskered Bulbul	rewbul	0.1986	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	207.0
37	Spectrogram 1	1	213.0	216.0	0	12000	Red-whiskered Bulbul	rewbul	0.3184	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	213.0
38	Spectrogram 1	1	234.0	237.0	0	12000	Red-whiskered Bulbul	rewbul	0.1516	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	234.0
39	Spectrogram 1	1	270.0	273.0	0	12000	Red-whiskered Bulbul	rewbul	0.1457	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	270.0
40	Spectrogram 1	1	279.0	282.0	0	12000	Red-whiskered Bulbul	rewbul	0.4042	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	279.0
41	Spectrogram 1	1	282.0	285.0	0	12000	Red-whiskered Bulbul	rewbul	0.2666	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	282.0
42	Spectrogram 1	1	297.0	300.0	0	12000	Red-whiskered Bulbul	rewbul	0.4364	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_081500.wav	297.0
