Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	6.0	9.0	0	12000	Indian Scimitar-Babbler	insbab1	0.9235	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260203_064500.wav	6.0
2	Spectrogram 1	1	9.0	12.0	0	12000	Gray Junglefowl	grejun2	0.9685	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260203_064500.wav	9.0
3	Spectrogram 1	1	12.0	15.0	0	12000	Indian Scimitar-Babbler	insbab1	0.9826	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260203_064500.wav	12.0
4	Spectrogram 1	1	18.0	21.0	0	12000	Indian Scimitar-Babbler	insbab1	0.8985	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260203_064500.wav	18.0
5	Spectrogram 1	1	21.0	24.0	0	12000	Indian Scimitar-Babbler	insbab1	0.8721	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260203_064500.wav	21.0
6	Spectrogram 1	1	27.0	30.0	0	12000	Indian Scimitar-Babbler	insbab1	0.9492	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260203_064500.wav	27.0
7	Spectrogram 1	1	30.0	33.0	0	12000	Gray Junglefowl	grejun2	0.9617	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260203_064500.wav	30.0
8	Spectrogram 1	1	45.0	48.0	0	12000	Gray Junglefowl	grejun2	0.9860	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260203_064500.wav	45.0
9	Spectrogram 1	1	48.0	51.0	0	12000	Indian Scimitar-Babbler	insbab1	0.8610	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260203_064500.wav	48.0
10	Spectrogram 1	1	54.0	57.0	0	12000	Indian Scimitar-Babbler	insbab1	0.9593	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260203_064500.wav	54.0
11	Spectrogram 1	1	57.0	60.0	0	12000	Indian Scimitar-Babbler	insbab1	0.9730	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260203_064500.wav	57.0
12	Spectrogram 1	1	60.0	63.0	0	12000	Indian Scimitar-Babbler	insbab1	0.9618	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260203_064500.wav	60.0
