Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	15.0	18.0	0	12000	Large-billed Crow	labcro1	0.4393	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260212_181500.wav	15.0
2	Spectrogram 1	1	18.0	21.0	0	12000	Large-billed Crow	labcro1	0.1820	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260212_181500.wav	18.0
3	Spectrogram 1	1	84.0	87.0	0	12000	Indian White-eye	indwhe1	0.6005	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260212_181500.wav	84.0
4	Spectrogram 1	1	153.0	156.0	0	12000	Short-eared Owl	sheowl	0.1530	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260212_181500.wav	153.0
5	Spectrogram 1	1	162.0	165.0	0	12000	Gray Heron	graher1	0.1034	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260212_181500.wav	162.0
6	Spectrogram 1	1	216.0	219.0	0	12000	Red-whiskered Bulbul	rewbul	0.3424	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260212_181500.wav	216.0
7	Spectrogram 1	1	222.0	225.0	0	12000	Red-whiskered Bulbul	rewbul	0.1109	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260212_181500.wav	222.0
8	Spectrogram 1	1	237.0	240.0	0	12000	Red-whiskered Bulbul	rewbul	0.1154	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260212_181500.wav	237.0
