Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	63.0	66.0	0	12000	Large-billed Leaf Warbler	lblwar1	0.8307	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_081500.wav	63.0
2	Spectrogram 1	1	69.0	72.0	0	12000	Indian White-eye	indwhe1	0.4773	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_081500.wav	69.0
3	Spectrogram 1	1	72.0	75.0	0	12000	Large-billed Crow	labcro1	0.1462	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_081500.wav	72.0
4	Spectrogram 1	1	105.0	108.0	0	12000	Gray Junglefowl	grejun2	0.2705	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_081500.wav	105.0
5	Spectrogram 1	1	132.0	135.0	0	12000	Red-whiskered Bulbul	rewbul	0.3360	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_081500.wav	132.0
6	Spectrogram 1	1	135.0	138.0	0	12000	Flame-throated Bulbul	bkcbul1	0.3897	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_081500.wav	135.0
7	Spectrogram 1	1	162.0	165.0	0	12000	Red-whiskered Bulbul	rewbul	0.1146	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_081500.wav	162.0
8	Spectrogram 1	1	174.0	177.0	0	12000	Large-billed Crow	labcro1	0.1284	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_081500.wav	174.0
9	Spectrogram 1	1	174.0	177.0	0	12000	Red-whiskered Bulbul	rewbul	0.1192	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_081500.wav	174.0
10	Spectrogram 1	1	186.0	189.0	0	12000	Red-whiskered Bulbul	rewbul	0.1944	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_081500.wav	186.0
11	Spectrogram 1	1	192.0	195.0	0	12000	Red-whiskered Bulbul	rewbul	0.2399	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_081500.wav	192.0
12	Spectrogram 1	1	195.0	198.0	0	12000	Large-billed Crow	labcro1	0.2462	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_081500.wav	195.0
13	Spectrogram 1	1	204.0	207.0	0	12000	Red-whiskered Bulbul	rewbul	0.3760	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_081500.wav	204.0
14	Spectrogram 1	1	213.0	216.0	0	12000	Large-billed Crow	labcro1	0.1078	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_081500.wav	213.0
15	Spectrogram 1	1	219.0	222.0	0	12000	Red-whiskered Bulbul	rewbul	0.1217	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_081500.wav	219.0
