Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	12000	Large-billed Crow	labcro1	0.9017	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_071500.wav	0.0
2	Spectrogram 1	1	3.0	6.0	0	12000	Large-billed Crow	labcro1	0.3519	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_071500.wav	3.0
3	Spectrogram 1	1	3.0	6.0	0	12000	Green Warbler	grnwar1	0.1616	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_071500.wav	3.0
4	Spectrogram 1	1	3.0	6.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1094	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_071500.wav	3.0
5	Spectrogram 1	1	6.0	9.0	0	12000	Large-billed Crow	labcro1	0.8008	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_071500.wav	6.0
6	Spectrogram 1	1	9.0	12.0	0	12000	Large-billed Crow	labcro1	0.4626	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_071500.wav	9.0
7	Spectrogram 1	1	9.0	12.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1407	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_071500.wav	9.0
8	Spectrogram 1	1	12.0	15.0	0	12000	Large-billed Crow	labcro1	0.2778	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_071500.wav	12.0
9	Spectrogram 1	1	12.0	15.0	0	12000	Indian Scimitar-Babbler	insbab1	0.1099	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_071500.wav	12.0
10	Spectrogram 1	1	15.0	18.0	0	12000	Large-billed Crow	labcro1	0.1090	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_071500.wav	15.0
11	Spectrogram 1	1	18.0	21.0	0	12000	Large-billed Crow	labcro1	0.2844	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_071500.wav	18.0
12	Spectrogram 1	1	21.0	24.0	0	12000	Green Warbler	grnwar1	0.1377	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_071500.wav	21.0
13	Spectrogram 1	1	21.0	24.0	0	12000	White-cheeked Barbet	whcbar1	0.1238	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_071500.wav	21.0
14	Spectrogram 1	1	21.0	24.0	0	12000	Greenish Warbler	grewar3	0.1227	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_071500.wav	21.0
15	Spectrogram 1	1	24.0	27.0	0	12000	Large-billed Crow	labcro1	0.7610	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260215_071500.wav	24.0
