Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	9.0	12.0	0	12000	Indian White-eye	indwhe1	0.4675	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_063000.wav	9.0
2	Spectrogram 1	1	36.0	39.0	0	12000	Indian White-eye	indwhe1	0.1557	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_063000.wav	36.0
3	Spectrogram 1	1	78.0	81.0	0	12000	Indian White-eye	indwhe1	0.2074	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_063000.wav	78.0
4	Spectrogram 1	1	87.0	90.0	0	12000	Indian White-eye	indwhe1	0.2989	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_063000.wav	87.0
5	Spectrogram 1	1	132.0	135.0	0	12000	Indian White-eye	indwhe1	0.2018	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_063000.wav	132.0
6	Spectrogram 1	1	159.0	162.0	0	12000	Indian White-eye	indwhe1	0.1965	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_063000.wav	159.0
7	Spectrogram 1	1	168.0	171.0	0	12000	Indian White-eye	indwhe1	0.1267	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_063000.wav	168.0
8	Spectrogram 1	1	198.0	201.0	0	12000	Malabar Whistling-Thrush	mawthr1	0.1535	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_063000.wav	198.0
9	Spectrogram 1	1	198.0	201.0	0	12000	Indian White-eye	indwhe1	0.1166	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_063000.wav	198.0
10	Spectrogram 1	1	204.0	207.0	0	12000	Gray Junglefowl	grejun2	0.1484	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_063000.wav	204.0
11	Spectrogram 1	1	207.0	210.0	0	12000	Indian White-eye	indwhe1	0.3392	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_063000.wav	207.0
12	Spectrogram 1	1	207.0	210.0	0	12000	Malabar Whistling-Thrush	mawthr1	0.1147	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260209_063000.wav	207.0
