Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	39.0	42.0	0	12000	Large-billed Crow	labcro1	0.1531	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_173000.wav	39.0
2	Spectrogram 1	1	93.0	96.0	0	12000	Green Warbler	grnwar1	0.1035	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_173000.wav	93.0
3	Spectrogram 1	1	105.0	108.0	0	12000	Green Warbler	grnwar1	0.2563	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_173000.wav	105.0
4	Spectrogram 1	1	108.0	111.0	0	12000	Green Warbler	grnwar1	0.2396	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_173000.wav	108.0
5	Spectrogram 1	1	144.0	147.0	0	12000	Green Warbler	grnwar1	0.1061	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_173000.wav	144.0
6	Spectrogram 1	1	150.0	153.0	0	12000	Green Warbler	grnwar1	0.2686	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_173000.wav	150.0
7	Spectrogram 1	1	192.0	195.0	0	12000	Large-billed Crow	labcro1	0.3063	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_173000.wav	192.0
8	Spectrogram 1	1	234.0	237.0	0	12000	Large-billed Crow	labcro1	0.2250	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_173000.wav	234.0
9	Spectrogram 1	1	264.0	267.0	0	12000	Large-billed Crow	labcro1	0.3475	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_173000.wav	264.0
10	Spectrogram 1	1	279.0	282.0	0	12000	Green Warbler	grnwar1	0.3728	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_173000.wav	279.0
11	Spectrogram 1	1	288.0	291.0	0	12000	Green Warbler	grnwar1	0.2208	F:\Nilgiris_rawdata\B04-01\Data\B04-01_20260128_173000.wav	288.0
